Permit Type Definition,Street Suffix,Existing Construction Type Description,Proposed Construction Type Description,Fire Only Permit,Lot,Description,Current Status,cost_changed,total_unit_after_completion,Permit_lifespan_days,time_of_completion_days,time_of_issue_days,percentage_story_increase
0.8571428571428571,12,3,0,0,339,3301,4,0,143.0,547,820,187.0,1.0
0.8571428571428571,12,3,0,0,473,6095,6,2,0.0,593,187,471.0,1.0
0.0,1,1,1,0,318,4009,11,2,78.0,1995,1861,0.0,0.5
0.7142857142857142,1,5,5,0,241,6659,3,0,2.0,613,6,253.0,0.5
0.14285714285714285,12,3,0,0,229,2643,6,0,0.0,733,67,368.0,1.0
0.7142857142857142,12,1,1,1,495,2905,6,0,652.0,382,215,22.0,0.5
0.7142857142857142,1,5,5,0,315,5224,3,0,10.0,360,12,0.0,0.5
0.7142857142857142,1,0,0,0,271,8826,6,1,0.0,1596,221,0.0,1.0
0.7142857142857142,12,0,0,0,443,8762,6,1,0.0,1591,216,0.0,1.0
0.7142857142857142,13,0,0,0,288,8700,6,1,0.0,1590,215,0.0,1.0
0.7142857142857142,12,0,0,0,229,8700,6,1,0.0,1590,215,0.0,1.0
0.7142857142857142,12,0,0,0,325,8700,6,1,0.0,1589,214,0.0,1.0
0.7142857142857142,12,0,0,0,339,8700,6,1,0.0,1586,211,0.0,1.0
0.7142857142857142,12,5,5,0,35,6207,5,1,2.0,1571,1861,0.0,0.5
0.7142857142857142,12,0,0,0,357,8700,6,1,0.0,1570,195,0.0,1.0
0.7142857142857142,12,0,0,0,418,8700,6,1,0.0,1569,194,0.0,1.0
0.7142857142857142,12,0,0,0,484,8762,6,1,0.0,1569,194,0.0,1.0
0.7142857142857142,12,0,0,0,503,8712,6,1,0.0,1569,194,0.0,1.0
0.7142857142857142,12,5,5,0,415,8585,5,1,12.0,1568,1861,0.0,0.5
0.7142857142857142,1,0,0,0,229,8700,6,1,0.0,1568,193,0.0,1.0
0.7142857142857142,12,0,0,0,470,8700,6,1,0.0,1565,190,0.0,1.0
0.7142857142857142,12,5,5,0,230,6697,5,1,4.0,1564,1861,0.0,0.5
0.0,12,5,5,0,418,8596,5,2,12.0,1564,1861,0.0,0.5
0.7142857142857142,12,0,0,0,250,8700,6,1,0.0,1558,183,0.0,1.0
0.7142857142857142,4,5,5,0,402,5224,6,0,18.0,365,182,0.0,0.5
0.7142857142857142,1,5,5,0,450,5224,6,0,2.0,184,174,0.0,0.5
0.7142857142857142,1,0,0,0,450,8700,6,1,0.0,1547,172,0.0,1.0
0.7142857142857142,12,0,0,0,342,8712,6,1,0.0,1544,169,0.0,1.0
0.7142857142857142,1,0,0,0,250,8700,6,1,0.0,1544,169,0.0,1.0
0.7142857142857142,12,0,0,0,229,8700,6,1,0.0,1543,168,0.0,1.0
0.7142857142857142,12,0,0,0,407,8700,6,1,0.0,1542,167,0.0,1.0
0.7142857142857142,12,0,0,0,295,8762,6,1,0.0,1542,167,0.0,1.0
0.7142857142857142,12,0,0,0,411,8700,6,1,0.0,1542,167,0.0,1.0
0.0,12,5,5,0,430,4528,1,0,12.0,1541,1861,0.0,0.5
0.7142857142857142,12,0,0,0,143,8700,6,1,0.0,1540,165,0.0,1.0
0.7142857142857142,12,0,0,0,66,8700,6,1,0.0,1540,165,0.0,1.0
0.7142857142857142,12,0,0,0,339,8700,6,1,0.0,1537,162,0.0,1.0
0.7142857142857142,1,0,0,0,342,8700,6,1,0.0,1536,161,0.0,1.0
0.7142857142857142,1,0,0,0,295,8700,6,1,0.0,1536,161,0.0,1.0
0.7142857142857142,1,0,0,0,334,8700,6,1,0.0,1527,152,0.0,1.0
